@dpb1961m-stress;;00:00:01.140;00:00:05.070;мне непоня'тно / почему' нельзя' сказа'ть полетя'щий шар и'ли войду'щий челове'к?
@dpb1961m-stress;;00:00:09.000;00:00:10.000;но э'то ненормати'вно
@dpb1961m-stress;;00:00:16.390;00:00:17.470;ну поня'тно / да
@dpb1961m-stress;;00:00:28.010;00:00:31.670;ну смотри'те / вот така'я либерализа'ция / опя'ть я сгущу' кра'ски 
@dpb1961m-stress;;00:00:32.470;00:00:34.924;не то что бы она' опа'сна / но она' 
@dpb1961m-stress;;00:00:34.924;00:00:42.490;не то что бы там ммм она' грози'т эээ ммм ситуа'цией когда' придё'… придё'тся поступи'ться при'нципами / не я не об э'том 
@dpb1961m-stress;;00:00:43.000;00:00:47.379;ну хорошо' / а е'сли мы попыта'емся иску'сственно ввести' долготу' гла'сных 
@dpb1961m-stress;;00:00:47.960;00:00:56.653;и дом бу'дет одно' а дом бу'дет друго'е / как в неме'цком языке' shtadt э'то одно' shtadt друго'е / по-ру'сски да'же ии' на слух непоня'тно
@dpb1961m-stress;;00:01:03.428;00:01:05.659;ну сла'ва бо'гу / вот вы меня' успоко'или 
@dpb1961m-stress;;00:01:05.810;00:01:06.290;да
@dpb1961m-stress;;00:01:14.370;00:01:16.428;ну запрети'ли же / обсце'нную ле'ксику
@dpb1961m-stress;;00:01:19.900;00:01:21.332;мм / но не грамма'тику
@dpb1961m-stress;;00:01:23.400;00:01:24.115;угу'…
@dpb1961m-stress;;00:01:30.150;00:01:30.420;да 
@dpb1961m-stress;;00:01:31.050;00:01:31.310;да
@dpb1961m-stress;;00:01:31.910;00:01:35.479;и ко'фе-то то'чно бу'дет сре'днего ро'да? / здесь / ну сомне'ния нет …
@dpb1961m-stress;;00:01:36.110;00:01:40.000;да / вообще'-то фило'лог э… э'то о'чень / большо'е заблужде'ние / да 
@dpb1961m-stress;;00:01:40.241;00:01:52.420;ну счита'ть что мм вопро'с как пра'вильно / кото'рый замеча'тельная Мари'на Королё'ва задаё'т на «Э'хе Москвы'» / там / с како'й-то частото'й / он а'а актуа'лен для всех / для фило'лога э'то вопро'с в о'бщем не... как бы'ло пра'вильно когда'-то 
@dpb1961m-stress;;00:01:52.870;00:01:56.533;музы'ка полкова'я да / щас му'зыка / до'мы то'мы / а щас дома' тома'
@dpb1961m-stress;;00:02:01.880;00:02:02.280;угу'
@dpb1961m-stress;;00:02:04.540;00:02:05.490;ну Ви'ктор Влади'мирович?
@dpb1961m-stress;;00:02:28.620;00:02:29.360;всё пра'вильно
@dpb1961m-stress;;00:02:33.079;00:02:33.538;да-да'
@dpb1961m-stress;;00:02:33.970;00:02:49.700;э'то мне напомина'ет разгово'ры / анекдо'ты про вое'нный си'нус что / си'нус девяно'ста гра'дусов / ра'вен едини'це ну а в тяжё'лой обстано'вке быва'ет два быва'ет три аа'а дохо'дит и до четырё'х / действи'тельно э'то / стра'нно бытово'му ммм / тако'му эмпири'ческому созна'нию / но на э'том всё осно'вано 
@dpb1961m-stress;;00:02:50.340;00:03:07.194;ну мы ж понима'ем каки'е / есть тенде'нции / фило'логи а как быть обы'чному челове'ку как ему' / не потеря'ться / в том что происхо'дит? / ведь мы не мо'жем отрица'ть / просто'й факт и об э'том напи'саны томы' и томы' / что / аа'а среда' и конте'ксты влия'ют на язы'к / ну наприме'р эсэмэ'ски 
@dpb1961m-stress;;00:03:08.100;00:03:12.490;вы пи'шете эээ / то'чки с запято'й / в эсэмэ'сках? / я пишу'
@dpb1961m-stress;;00:03:13.520;00:03:14.360;а кавы'чки? 
@dpb1961m-stress;;00:03:14.560;00:03:18.736;а кавы'чки / умира'ющие  / пунктуацио'нный знак 
@dpb1961m-stress;;00:03:19.240;00:03:25.600;вы пи'шете там / ну принеси' мне «Но'вый мир» / вы пи'шете в кавы'чках / и'ли эээ в эсэмэ'сках?
@dpb1961m-stress;;00:03:25.760;00:03:26.920;я пишу' в кавы'чках
@dpb1961m-stress;;00:03:31.210;00:03:40.120;ну / на'до сказа'ть что / не на'до де'лать эээ фети'ш из эээ э'тих назва'ний / в девятна'дцатом ве'ке / э'то ммм опя'ть же / бы'ло всё ина'че 
@dpb1961m-stress;;00:03:40.720;00:03:41.098;да…
@dpb1961m-stress;;00:03:41.470;00:03:44.370;тот же / «Совреме'нник» да / писа'лся без ка'вычек
@dpb1961m-stress;;00:04:06.640;00:04:09.889;стра'шные ве'щи говори'те / вро'де бы наоборо'т / я опя'ть провоци'рую 
@dpb1961m-stress;;00:04:10.230;00:04:14.300;е'сли вы рабо'таете как профессиона'л / то как раз / но'рма для вас подвижна' 
@dpb1961m-stress;;00:04:14.700;00:04:32.186;да / и не'ту вопро'са как пра'вило / а вот е'сли вы обыва'тель / ну / ска'жем мя'гче обы'чный челове'к / не профессиона'л / то вы впра'ве сказа'ть... зада'ть вопро'с / а как всё'-таки / эээ ну мне говори'ть «оде'ть» и'ли «наде'ть» / эээ фо'льга и'ли фольга' / э'то знамени'тые приме'ры да / раку'рс / фо'льга / эээ что там ещё'? 
@dpb1961m-stress;;00:04:32.650;00:04:41.181;эээ ммм я име'ю ввиду' нормы-гри'нки / да кото'рые по-пре'жнему явля'ются но'рмой но так / не говори'т ка'жется никто'
@dpb1961m-stress;;00:04:42.880;00:04:43.641;что с э'тим де'лать?
